                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0452,                  1.758,                0.75984,                 1.2546,                0.90185,                0.83428,                0.90437,                0.67673,                0.90052,                0.83118,                0.89189,                0.60696,                0.96774,                 1.7347,                 0.7006,                 1.2201,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0353,                 1.7454,                0.75537,                 1.2503,                0.91381,                0.84385,                0.90989,                 0.6821,                0.91073,                  0.841,                0.90504,                0.61127,                0.96475,                 1.7246,                0.67597,                 1.2219,               0.008317,               0.008317,               0.008317
                     36,                 1.0339,                 1.7562,                0.76199,                 1.2537,                0.91777,                0.83919,                0.90607,                0.67515,                0.91581,                0.83525,                 0.9022,                0.61499,                0.97628,                 1.7594,                0.69756,                 1.2279,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.022,                 1.7358,                0.74615,                 1.2416,                0.90931,                 0.8529,                0.90723,                0.68966,                0.90399,                0.84956,                0.89496,                0.61254,                 0.9309,                 1.7082,                 0.6639,                 1.1968,               0.008218,               0.008218,               0.008218
                     38,                 1.0208,                  1.723,                0.74535,                 1.2369,                 0.9012,                0.82989,                 0.9013,                0.67752,                0.90035,                0.82911,                0.89607,                0.60962,                0.95443,                 1.7531,                0.71906,                 1.2113,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0108,                 1.7169,                0.73651,                 1.2246,                0.91823,                 0.8506,                0.91299,                0.69261,                0.92342,                 0.8454,                0.91014,                0.62882,                0.93346,                 1.6745,                0.65362,                 1.1942,               0.008119,               0.008119,               0.008119
                     40,                 1.0005,                 1.7049,                0.72578,                 1.2253,                0.91138,                0.85367,                 0.9149,                0.70087,                0.90669,                0.84928,                0.90848,                 0.6309,                0.90857,                   1.66,                 0.6414,                 1.1765,              0.0080695,              0.0080695,              0.0080695
                     41,                0.99853,                 1.6986,                0.72583,                 1.2128,                0.92311,                0.86194,                0.91881,                  0.702,                0.91965,                  0.856,                0.90855,                0.63215,                 0.9206,                 1.6512,                0.63381,                 1.1813,                0.00802,                0.00802,                0.00802
                     42,                0.98621,                 1.6701,                0.70795,                  1.209,                0.91855,                0.85471,                0.91279,                0.70402,                0.91546,                0.85111,                 0.9044,                0.63495,                0.89585,                 1.6427,                0.63754,                 1.1634,              0.0079705,              0.0079705,              0.0079705
                     43,                0.98326,                  1.654,                0.70448,                 1.2058,                0.91393,                0.85371,                0.91386,                0.70104,                0.91573,                0.85109,                0.91331,                0.64062,                0.90763,                  1.634,                0.64494,                 1.1737,               0.007921,               0.007921,               0.007921
                     44,                0.96905,                 1.6407,                0.68693,                 1.1951,                0.92397,                0.84827,                0.91706,                0.70768,                0.92369,                0.84801,                0.91506,                0.63715,                0.89506,                 1.6284,                0.63406,                 1.1657,              0.0078715,              0.0078715,              0.0078715
                     45,                0.97857,                 1.6637,                0.70283,                  1.201,                0.91124,                0.86608,                0.91737,                0.71036,                0.91198,                0.85962,                0.90923,                0.64163,                0.88559,                 1.6251,                0.61637,                 1.1542,               0.007822,               0.007822,               0.007822
                     46,                0.96258,                 1.6551,                0.69468,                 1.1896,                0.93216,                0.85109,                 0.9199,                0.71582,                0.92821,                0.84908,                0.91277,                0.63918,                0.88044,                 1.6166,                0.62219,                 1.1541,              0.0077725,              0.0077725,              0.0077725
                     47,                0.95444,                 1.6056,                0.67902,                 1.1853,                0.91855,                0.85132,                0.91424,                0.70848,                0.91815,                0.84687,                0.90335,                0.63669,                0.87533,                 1.6135,                0.62404,                 1.1483,               0.007723,               0.007723,               0.007723
                     48,                0.95426,                  1.609,                0.67486,                 1.1782,                0.92125,                0.86582,                0.92168,                0.72153,                0.92153,                0.86608,                0.92126,                0.65466,                0.86738,                 1.5784,                0.59637,                 1.1448,              0.0076735,              0.0076735,              0.0076735
                     49,                0.94965,                 1.6087,                0.67565,                 1.1812,                 0.9351,                0.85858,                0.92438,                0.72434,                0.93225,                0.85548,                 0.9187,                 0.6521,                0.85922,                 1.5845,                 0.6003,                 1.1365,               0.007624,               0.007624,               0.007624
                     50,                0.94695,                  1.608,                0.67132,                 1.1743,                0.93958,                0.86065,                0.92766,                0.72898,                0.93958,                0.86065,                0.92538,                0.66401,                0.84806,                 1.5457,                0.58244,                 1.1205,              0.0075745,              0.0075745,              0.0075745
                     51,                0.94039,                 1.5884,                0.66573,                 1.1733,                0.92356,                0.87149,                0.92665,                0.73194,                0.92456,                0.87132,                0.92403,                0.66917,                0.84544,                 1.5414,                0.58205,                 1.1272,               0.007525,               0.007525,               0.007525
                     52,                0.93598,                   1.57,                0.65894,                 1.1619,                0.93689,                0.85968,                0.92601,                 0.7313,                0.93359,                0.85574,                0.91707,                0.65985,                0.83243,                 1.5458,                0.58698,                 1.1199,              0.0074755,              0.0074755,              0.0074755
                     53,                0.92359,                 1.5649,                0.64594,                 1.1542,                0.93113,                 0.8759,                0.92869,                0.73808,                0.92761,                0.87795,                0.92894,                0.67118,                0.83304,                 1.5284,                0.56431,                 1.1155,               0.007426,               0.007426,               0.007426
                     54,                0.93356,                 1.5845,                0.65551,                 1.1635,                0.92387,                0.87841,                0.92879,                0.73595,                0.92201,                 0.8728,                0.92247,                0.66369,                0.83033,                  1.524,                0.57132,                  1.115,              0.0073765,              0.0073765,              0.0073765
                     55,                0.91724,                 1.5609,                0.63736,                 1.1482,                0.92819,                0.87882,                0.92753,                0.74134,                0.92596,                0.87619,                0.91799,                0.66631,                0.81839,                  1.512,                0.56996,                 1.1062,               0.007327,               0.007327,               0.007327
                     56,                0.91017,                 1.5327,                0.63555,                 1.1465,                0.93605,                0.87694,                0.93179,                0.74258,                0.93294,                0.87403,                0.92459,                0.67306,                0.81344,                 1.4872,                0.55865,                 1.1007,              0.0072775,              0.0072775,              0.0072775
                     57,                0.91625,                  1.556,                0.64122,                 1.1458,                0.92604,                0.86751,                0.92874,                0.74047,                0.92688,                0.85755,                0.91676,                0.67004,                0.81746,                 1.5157,                0.56739,                 1.1023,               0.007228,               0.007228,               0.007228
                     58,                    0.9,                 1.5283,                0.62388,                 1.1336,                0.92127,                0.87797,                0.92722,                0.74377,                0.93171,                0.86419,                0.92571,                0.67611,                0.80846,                 1.4748,                0.57113,                 1.0999,              0.0071785,              0.0071785,              0.0071785
                     59,                0.89475,                 1.5217,                0.61794,                 1.1303,                0.92731,                0.87901,                 0.9335,                0.74922,                0.92291,                0.88215,                0.93154,                0.67867,                0.80236,                 1.4805,                0.55185,                  1.093,               0.007129,               0.007129,               0.007129
                     60,                 0.8975,                 1.5187,                0.62135,                  1.129,                0.93623,                0.88058,                0.93235,                0.75055,                0.93209,                0.87646,                 0.9225,                0.67767,                0.79644,                 1.4868,                 0.5486,                 1.0876,              0.0070795,              0.0070795,              0.0070795
                     61,                0.88964,                 1.5024,                0.61831,                 1.1275,                0.93669,                0.86918,                0.92949,                0.74887,                0.93405,                0.87145,                0.92833,                0.67667,                0.79058,                 1.4702,                0.55688,                 1.0864,                0.00703,                0.00703,                0.00703
                     62,                0.88341,                 1.4905,                0.60996,                 1.1247,                0.92914,                0.88211,                0.93209,                 0.7564,                0.92618,                0.87906,                0.92557,                 0.6827,                0.78477,                 1.4706,                0.54108,                 1.0826,              0.0069805,              0.0069805,              0.0069805
                     63,                 0.8861,                 1.5037,                0.61963,                 1.1265,                 0.9312,                0.88533,                0.93471,                0.75609,                 0.9284,                 0.8817,                0.92608,                 0.6849,                0.77721,                 1.4474,                0.53363,                 1.0796,               0.006931,               0.006931,               0.006931
